"processname","workingset"
"Code","160882688"
"Code","239165440"
"Code","109645824"
"Code","123543552"
"dwm","109682688"
"explorer","229634048"
"Microsoft.Management.Services.IntuneWindowsAgent","130248704"
"msedge","111165440"
"msedgewebview2","434974720"
"MsMpEng","307810304"
"MsSense","175972352"
"OneDrive","162045952"
"PhoneExperienceHost","167186432"
"powershell","295862272"
"pwsh","312918016"
"SearchApp","230985728"
"Secure System","146313216"
"SenseCE","113348608"
"WavesSysSvc64","407883776"
