"processname","Workingset"
,"173064192"
,"234934272"
,"111185920"
,"123236352"
,"113356800"
,"231256064"
,"236294144"
,"129286144"
,"110256128"
,"437243904"
,"328101888"
,"176263168"
,"161685504"
,"167297024"
,"295854080"
,"320180224"
,"391548928"
,"146313216"
,"113758208"
,"407859200"
,"173064192"
,"234934272"
,"111185920"
,"123236352"
,"113356800"
,"231256064"
,"236294144"
,"129286144"
,"110256128"
,"437243904"
,"328101888"
,"176263168"
,"161685504"
,"167297024"
,"295854080"
,"320180224"
,"391548928"
,"146313216"
,"113758208"
,"407859200"
,"173064192"
,"234934272"
,"111185920"
,"123236352"
,"113356800"
,"231256064"
,"236294144"
,"129286144"
,"110256128"
,"437243904"
,"328101888"
,"176263168"
,"161685504"
,"167297024"
,"295854080"
,"320180224"
,"391548928"
,"146313216"
,"113758208"
,"407859200"
"Code","173064192"
"Code","234934272"
"Code","111185920"
"Code","123236352"
"dwm","113356800"
"EXCEL","231256064"
"explorer","236294144"
"Microsoft.Management.Services.IntuneWindowsAgent","129286144"
"msedge","110256128"
"msedgewebview2","437243904"
"MsMpEng","328101888"
"MsSense","176263168"
"OneDrive","161685504"
"PhoneExperienceHost","167297024"
"powershell","295854080"
"pwsh","320180224"
"SearchApp","391548928"
"Secure System","146313216"
"SenseCE","113758208"
"WavesSysSvc64","407859200"
